Date:TEXT,Reg:TEXT,From:TEXT,To:TEXT,PIC:REAL,Type:TEXT,Landings:INT,Aprcs:INT,Comment:TEXT,Dual:REAL,ActI:REAL,SimI:REAL,Sim:REAL
2021/04/27,N248JP,FVNU,FVRG,1.5,C208,1,0,,0,0,0,0
2021/04/26,N248JP,FVMH,FVNU,0.5,C208,1,0,,0,0,0,0
2021/04/24,N248JP,FVJN,FVMH,1.7,C208,1,0,,0,0,0,0
2021/04/24,N248JP,FBMN,FVJN,2,C208,1,0,,0,0,0,0
2021/04/24,N248JP,XIGERA,FBMN,0.5,C208,1,0,,0,0,0,0
2021/04/22,N248JP,FBMN,XIGERA,0.5,C208,1,0,,0,0,0,0
2021/04/22,N248JP,FYWE,FBMN,2.5,C208,1,0,,0,0,0,0
2021/04/22,N248JP,WOLTEMADE,FYWE,1,C208,1,0,,0,0,0,0
2021/04/19,N248JP,FYWE,WOLTEMADE,1,C208,1,0,,0,0,0,0
2021/04/19,N248JP,FYSO,FYWE,0.6,C208,1,0,,0,0,0,0
2021/04/17,N248JP,FYSO,FYSO,0.8,C208,1,0,annual trg w. J van Zyl,0,0,0,0
2021/04/15,N248JP,FYWE,FYSO,0.7,C208,1,0,,0,0,0,0
2021/04/03,N4242G,KPAE,KAWO,1,8KCAB,1,0,,0,0,0,0
2021/04/01,N4242G,KPAE,KPAE,1.4,8KCAB,5,0,"0S9, BVS",0,0,0,0
2021/03/30,N824MZ,KPAE,KBFI,0.3,AEST,1,0,,0,0,0,0
2021/03/30,N4242G,KPAE,KPAE,0.7,8KCAB,2,0,refuel at AWO,0,0,0,0
2021/03/30,N824MZ,KBFI,KPAE,0.6,AEST,1,0,,0,0,0,0
2021/03/02,N4242G,KPAE,KPAE,1.2,8KCAB,4,0,"BVS t&he's, slow, steep, stalls",0,0,0,0
2021/02/24,N824MZ,KCOE,KBFI,1.7,AEST,1,0,"fix G430, oil change",0,0,0,0
2021/02/03,N4242G,KPAE,KPAE,1.7,8KCAB,5,0,"FHR,ORS,BVS",0,0,0,0
2021/01/27,N4242G,KPAE,KPAE,1,8KCAB,4,0,"KAWO, slow flight, rolls",0,0,0,0
2021/01/22,N824MZ,KCOE,KGEG,0.4,AEST,1,0,,0,0,0,0
2021/01/22,N824MZ,KBFI,KCOE,1.5,AEST,1,0,,0,0,0,0
2021/01/15,N4242G,KPAE,KPAE,0.8,8KCAB,6,0,KAWO T&G's,0,0,0,0
2020/12/29,N824MZ,KPAE,KPAE,1,AEST,5,0,refuel at KBVS,0,0,0,0
2020/12/24,N824MZ,KRNO,KBFI,2.5,AEST,1,0,,0,0,0,0
2020/12/24,N824MZ,KCRQ,KRNO,2,AEST,1,0,,0,0,0,0
2020/12/22,N824MZ,KRTS,KCRQ,2,AEST,1,0,,0,0,0,0
2020/12/22,N824MZ,KBFI,KRTS,2.5,AEST,1,0,,0,0,0,0
2020/12/12,N4242G,KPAE,KPAE,1,8KCAB,5,0,"T&G's at Jeff Co, 0S9",0,0,0,0
2020/12/03,N824MZ,KBVS,KBFI,0.5,AEST,1,0,,0,0,0,0
2020/12/03,N824MZ,KBFI,KBVS,2,AEST,1,6,"PAE: ILS-16Yx4, RNAV-16Yx2, hold@ECEPO, A. Maritz",0,0,0,0
2020/12/02,N824MZ,KPAE,KBFI,0.5,AEST,1,0,,0,0,0,0
2020/12/02,N4242G,KPAE,KPAE,1,8KCAB,3,0,t&g at BVS,0,0,0,0
2020/12/02,N824MZ,KBFI,KPAE,1,AEST,1,0,"pracice RNAV at BVS, AWO",0,0,0,0
2020/11/01,N824MZ,KBVS,KBFI,0.5,AEST,1,0,,0,0,0,0
2020/11/01,N824MZ,KBFI,KBVS,1.5,AEST,1,0,"practice RNAV apps at KCLM, KBVS",0,0,0,0
2020/10/22,N824MZ,KPAE,KBFI,0.4,AEST,1,0,,0,0,0,0
2020/10/22,N824MZ,KCOE,KPAE,1.5,AEST,1,0,"Hold at SKYKO, divert to PAE",0,0,0,0
2020/10/20,N4242G,KBVS,KPAE,0.8,8KCAB,3,0,T&G's at KAWO,0,0,0,0
2020/10/20,N4242G,KPAE,KBVS,0.7,8KCAB,1,0,,0,0,0,0
2020/10/01,N4242G,KBVS,KPAE,0.5,8KCAB,1,0,,0,0,0,0
2020/10/01,N4242G,KPAE,KBVS,0.6,8KCAB,3,0,,0,0,0,0
2020/09/26,N824MZ,KCOE,KGEG,0.4,AEST,1,0,,0,0,0,0
2020/09/26,N824MZ,KBZN,KCOE,1.6,AEST,1,0,,0,0.1,0,0
2020/09/25,N824MZ,KRAP,KBZN,1.8,AEST,1,0,,0,0,0,0
2020/09/25,N824MZ,KALO,KRAP,2.7,AEST,1,0,,0,0,0,0
2020/09/24,N824MZ,KCHT,KALO,1,AEST,1,0,,0,0.2,0,0
2020/09/24,N824MZ,KMKC,KCHT,0.5,AEST,1,0,,0,0,0,0
2020/09/23,N824MZ,KBKX,KMKC,1.5,AEST,1,0,,0,0.5,0,0
2020/09/22,N824MZ,KCOE,KMLS,2,AEST,1,0,,0,0,0,0
2020/09/21,N824MZ,KBFI,KCOE,1.5,AEST,1,0,,0,0,0,0
2020/09/21,N824MZ,KMLS,KBKX,2,AEST,1,0,,0,0,0,0
2020/09/09,N4242G,KBFI,KPAE,0.5,8KCAB,1,0,,0,0,0,0
2020/09/09,N824MZ,KBVS,KBFI,0.7,AEST,1,0,,0,0,0,0
2020/09/09,N824MZ,KBFI,KBVS,0.5,AEST,1,0,,0,0,0,0
2020/09/09,N4242G,KPAE,KBFI,0.5,8KCAB,1,0,,0,0,0,0
2020/09/03,N4242G,WA09,KPAE,0.9,8KCAB,1,0,,0,0,0,0
2020/09/03,N4242G,KPAE,WA09,0.8,8KCAB,1,0,,0,0,0,0
2020/08/27,N4242G,WA09,KPAE,0.9,8KCAB,1,0,,0,0,0,0
2020/08/27,N4242G,KPAE,WA09,0.8,8KCAB,1,0,,0,0,0,0
2020/08/18,N824MZ,KUAO,KBFI,1,AEST,1,0,,0,0,0,0
2020/08/18,N824MZ,KBFI,KUAO,1,AEST,1,0,,0,0,0,0
2020/08/14,N4242G,KBVS,KPAE,0.6,8KCAB,1,0,,0,0,0,0
2020/08/14,N4242G,KORS,KBVS,0.4,8KCAB,1,0,,0,0,0,0
2020/08/14,N4242G,KBVS,KORS,0.4,8KCAB,1,0,w. Elian,0,0,0,0
2020/08/14,N4242G,KORS,KBVS,0.4,8KCAB,1,0,,0,0,0,0
2020/08/14,N4242G,KPAE,KORS,0.8,8KCAB,1,0,,0,0,0,0
2020/08/05,N4242G,KPAE,KPAE,2,8KCAB,6,0,"refuel at KBVS, multiple T&G's",0,0,0,0
2020/07/30,N4242G,KORS,KPAE,1,8KCAB,1,0,,0,0,0,0
2020/07/30,N4242G,KPAE,KORS,1,8KCAB,1,0,,0,0,0,0
2020/07/27,N4242G,KORS,KPAE,1,8KCAB,1,0,,0,0,0,0
2020/07/27,N4242G,KBVS,KORS,0.5,8KCAB,1,0,,0,0,0,0
2020/07/27,N4242G,KPAE,KBVS,0.7,8KCAB,1,0,,0,0,0,0
